PlotNo,Plotsize,Partial?,Treeno,Species,Condition,DBH,Height,EstHeight,Height to Break
1,0.04,Half,1,Cw,,35.3,29.5,,
1,0.04,Half,2,Fd,,24.2,27.9,,
1,0.04,Half,3,Cw,,22.2,17.5,,
1,0.04,Half,4,Fd,,28.4,26.1,,
1,0.04,Half,5,Fd,,30.7,31.5,,
1,0.04,Half,6,Fd,,35.8,28.5,,
1,0.04,Half,7,Cw,,31.8,26.3,,
1,0.04,Half,8,Cw,,31.8,19,,
1,0.04,Half,9,Fd,,26.5,29.8,,
1,0.04,Half,10,Cw,,28.3,20.2,,
1,0.04,Half,11,Hw,,12.8,11,,
1,0.04,Half,12,Fd,,59.6,39.1,,
1,0.04,Half,13,Fd,,45.8,34.2,,
1,0.04,Half,14,Fd,,44.1,34.1,,
1,0.04,Half,15,Cw,Fork,35.4,26.4,,
2,0.04,Full,1,Cw,,22.2,25.0,,
2,0.04,Full,2,Cw,,35.3,22.7,,
2,0.04,Full,3,Fd,,45.0,27.6,,
2,0.04,Full,4,Cw,,9.8,10.5,,
2,0.04,Full,5,Cw,,9.1,10.4,,
2,0.04,Full,6,DD,Dead,,,,
2,0.04,Full,7,DD,Dead,,,,
2,0.04,Full,8,Cw,,23.3,25.3,,
2,0.04,Full,9,DD,Dead,,,,
2,0.04,Full,10,Fd,,23.5,25.3,,
2,0.04,Full,11,Hw,,18.1,20.9,,
2,0.04,Full,12,Cw,,16.9,15.2,,
2,0.04,Full,13,DD,,,,,
2,0.04,Full,14,Fd,,16.8,20.6,,
2,0.04,Full,15,Fd,,18.9,21.8,,
2,0.04,Full,16,Fd,Broken Top,39.2,,30,27
2,0.04,Full,17,DD,Dead,,,,
2,0.04,Full,18,DD,Dead,,,,
2,0.04,Full,19,Fd,,43.1,34.9,,
2,0.04,Full,20,DD,,,,,
2,0.04,Full,21,Cw,,61.3,32.4,,
3,0.04,Half,1,Cw,,30.0,32.4,,
3,0.04,Half,2,Cw,,24.5,28.0,,
3,0.04,Half,3,Hw,,13.8,20.0,,
3,0.04,Half,4,Fd,,34.4,37.0,,
3,0.04,Half,5,Cw,,21.2,31.1,,
3,0.04,Half,6,DD,Dead,,,,
3,0.04,Half,7,Hw,,28.3,34.4,,
3,0.04,Half,8,Fd,,22.0,31.7,,
3,0.04,Half,9,Fd,,38.9,40.1,,
3,0.04,Half,10,Fd,,35.8,37.3,,
4,0.04,Full,1,Cw,,26.6,19.7,,
4,0.04,Full,2,Fd,,46.3,44.1,,
4,0.04,Full,3,Cw,,17.0,14.2,,
4,0.04,Full,4,Fd,,49.9,44.8,,
4,0.04,Full,5,Cw,,12.2,12.6,,
4,0.04,Full,6,Fd,,48.8,46.6,,
4,0.04,Full,7,Fd,Broken Top,37.0,,35,32
4,0.04,Full,8,Cw,,17.3,18.9,,
4,0.04,Full,9,Hw,,18.4,19.8,,
4,0.04,Full,10,Fd,,30.2,38.6,,
4,0.04,Full,11,Fd,,57.0,43.0,,
4,0.04,Full,12,Fd,,28.8,35.0,,
